Measurement: I_leakage
  step	MIN(i(V1))	FROM	TO
     1	-3.55231e-06	-0.566	0.566
     2	-3.20777e-06	-0.566	0.566
     3	-3.52863e-06	-0.566	0.566
     4	-4.31239e-06	-0.566	0.566
     5	-3.36444e-06	-0.566	0.566
     6	-1.59792e-06	-0.566	0.566
     7	-5.80356e-06	-0.566	0.566
     8	-2.68393e-06	-0.566	0.566
     9	-2.83485e-06	-0.566	0.566
    10	-4.95901e-06	-0.566	0.566
    11	-2.84703e-06	-0.566	0.566
    12	-5.13698e-06	-0.566	0.566
    13	-3.70881e-06	-0.566	0.566
    14	-1.94416e-06	-0.566	0.566
    15	-4.72998e-06	-0.566	0.566
    16	-3.12922e-06	-0.566	0.566
    17	-3.65622e-06	-0.566	0.566
    18	-4.19196e-06	-0.566	0.566
    19	-2.84832e-06	-0.566	0.566
    20	-3.16251e-06	-0.566	0.566
    21	-4.10559e-06	-0.566	0.566
    22	-3.52029e-06	-0.566	0.566
    23	-2.4615e-06	-0.566	0.566
    24	-2.65856e-06	-0.566	0.566
    25	-2.86137e-06	-0.566	0.566
    26	-2.26377e-06	-0.566	0.566
    27	-4.50397e-06	-0.566	0.566
    28	-4.37906e-06	-0.566	0.566
    29	-5.84813e-06	-0.566	0.566
    30	-5.18547e-06	-0.566	0.566
    31	-3.63445e-06	-0.566	0.566
    32	-2.84427e-06	-0.566	0.566
    33	-4.49174e-06	-0.566	0.566
    34	-3.91047e-06	-0.566	0.566
    35	-3.38272e-06	-0.566	0.566
    36	-3.73115e-06	-0.566	0.566
    37	-2.17252e-06	-0.566	0.566
    38	-3.01073e-06	-0.566	0.566
    39	-3.73593e-06	-0.566	0.566
    40	-2.25244e-06	-0.566	0.566
    41	-4.85992e-06	-0.566	0.566
    42	-5.02486e-06	-0.566	0.566
    43	-4.01733e-06	-0.566	0.566
    44	-3.04899e-06	-0.566	0.566
    45	-3.51455e-06	-0.566	0.566
    46	-4.34633e-06	-0.566	0.566
    47	-3.56829e-06	-0.566	0.566
    48	-1.67481e-06	-0.566	0.566
    49	-1.69652e-06	-0.566	0.566
    50	-2.06674e-06	-0.566	0.566
    51	-3.70395e-06	-0.566	0.566
    52	-4.5699e-06	-0.566	0.566
    53	-4.08451e-06	-0.566	0.566
