Measurement: I_leakage
  step	MIN(i(V1))	FROM	TO
     1	-8.3799e-06	-0.707	0.707
     2	-7.87315e-06	-0.707	0.707
     3	-8.3371e-06	-0.707	0.707
     4	-9.45531e-06	-0.707	0.707
     5	-8.08513e-06	-0.707	0.707
     6	-5.26733e-06	-0.707	0.707
     7	-1.14548e-05	-0.707	0.707
     8	-7.06443e-06	-0.707	0.707
     9	-7.29261e-06	-0.707	0.707
    10	-1.03188e-05	-0.707	0.707
    11	-7.3161e-06	-0.707	0.707
    12	-1.05857e-05	-0.707	0.707
    13	-8.58219e-06	-0.707	0.707
    14	-5.88182e-06	-0.707	0.707
    15	-1.00045e-05	-0.707	0.707
    16	-7.75093e-06	-0.707	0.707
    17	-8.46733e-06	-0.707	0.707
    18	-9.23205e-06	-0.707	0.707
    19	-7.34e-06	-0.707	0.707
    20	-7.7611e-06	-0.707	0.707
    21	-9.14533e-06	-0.707	0.707
    22	-8.28441e-06	-0.707	0.707
    23	-6.70302e-06	-0.707	0.707
    24	-7.00433e-06	-0.707	0.707
    25	-7.30554e-06	-0.707	0.707
    26	-6.40328e-06	-0.707	0.707
    27	-9.72396e-06	-0.707	0.707
    28	-9.52877e-06	-0.707	0.707
    29	-1.15071e-05	-0.707	0.707
    30	-1.06257e-05	-0.707	0.707
    31	-8.50322e-06	-0.707	0.707
    32	-7.32446e-06	-0.707	0.707
    33	-9.6729e-06	-0.707	0.707
    34	-8.85372e-06	-0.707	0.707
    35	-8.12439e-06	-0.707	0.707
    36	-8.63931e-06	-0.707	0.707
    37	-6.2618e-06	-0.707	0.707
    38	-7.56374e-06	-0.707	0.707
    39	-8.62459e-06	-0.707	0.707
    40	-6.37689e-06	-0.707	0.707
    41	-1.01877e-05	-0.707	0.707
    42	-1.04118e-05	-0.707	0.707
    43	-9.0089e-06	-0.707	0.707
    44	-7.62423e-06	-0.707	0.707
    45	-8.30975e-06	-0.707	0.707
    46	-9.50681e-06	-0.707	0.707
    47	-8.4092e-06	-0.707	0.707
    48	-5.40026e-06	-0.707	0.707
    49	-5.44795e-06	-0.707	0.707
    50	-6.08393e-06	-0.707	0.707
    51	-8.60419e-06	-0.707	0.707
    52	-9.80408e-06	-0.707	0.707
    53	-9.08215e-06	-0.707	0.707
    54	-6.16942e-06	-0.707	0.707
    55	-8.37398e-06	-0.707	0.707
    56	-7.29596e-06	-0.707	0.707
    57	-9.95209e-06	-0.707	0.707
    58	-9.90155e-06	-0.707	0.707
    59	-8.47958e-06	-0.707	0.707
    60	-1.22375e-05	-0.707	0.707
    61	-8.00745e-06	-0.707	0.707
    62	-8.18422e-06	-0.707	0.707
    63	-7.708e-06	-0.707	0.707
    64	-9.45215e-06	-0.707	0.707
    65	-7.35877e-06	-0.707	0.707
    66	-1.11533e-05	-0.707	0.707
    67	-1.07512e-05	-0.707	0.707
    68	-8.19962e-06	-0.707	0.707
    69	-7.14741e-06	-0.707	0.707
    70	-7.61853e-06	-0.707	0.707
    71	-7.72481e-06	-0.707	0.707
    72	-8.60008e-06	-0.707	0.707
    73	-8.75517e-06	-0.707	0.707
    74	-7.12671e-06	-0.707	0.707
    75	-9.1678e-06	-0.707	0.707
    76	-8.16112e-06	-0.707	0.707
    77	-5.4804e-06	-0.707	0.707
    78	-9.09256e-06	-0.707	0.707
    79	-9.28375e-06	-0.707	0.707
    80	-9.65911e-06	-0.707	0.707
    81	-8.37703e-06	-0.707	0.707
    82	-7.91607e-06	-0.707	0.707
    83	-7.76273e-06	-0.707	0.707
    84	-1.01128e-05	-0.707	0.707
    85	-1.01252e-05	-0.707	0.707
    86	-8.18964e-06	-0.707	0.707
    87	-1.22774e-05	-0.707	0.707
    88	-7.4547e-06	-0.707	0.707
    89	-1.05736e-05	-0.707	0.707
    90	-7.81402e-06	-0.707	0.707
    91	-6.51398e-06	-0.707	0.707
    92	-1.05069e-05	-0.707	0.707
    93	-6.66682e-06	-0.707	0.707
    94	-6.08725e-06	-0.707	0.707
    95	-6.67508e-06	-0.707	0.707
    96	-9.19766e-06	-0.707	0.707
    97	-8.12079e-06	-0.707	0.707
    98	-7.93706e-06	-0.707	0.707
    99	-1.009e-05	-0.707	0.707
   100	-7.5121e-06	-0.707	0.707
   101	-9.67316e-06	-0.707	0.707
   102	-9.16081e-06	-0.707	0.707
   103	-5.73447e-06	-0.707	0.707
   104	-7.46212e-06	-0.707	0.707
   105	-8.42155e-06	-0.707	0.707
   106	-4.89277e-06	-0.707	0.707
   107	-8.78516e-06	-0.707	0.707
   108	-9.29973e-06	-0.707	0.707
   109	-9.26973e-06	-0.707	0.707
   110	-5.91547e-06	-0.707	0.707
   111	-7.56071e-06	-0.707	0.707
   112	-8.28806e-06	-0.707	0.707
   113	-6.00495e-06	-0.707	0.707
   114	-1.08109e-05	-0.707	0.707
   115	-7.48614e-06	-0.707	0.707
   116	-7.96955e-06	-0.707	0.707
   117	-7.89536e-06	-0.707	0.707
   118	-8.5352e-06	-0.707	0.707
   119	-7.441e-06	-0.707	0.707
   120	-9.93268e-06	-0.707	0.707
   121	-8.65865e-06	-0.707	0.707
   122	-8.39678e-06	-0.707	0.707
   123	-8.68763e-06	-0.707	0.707
   124	-5.86383e-06	-0.707	0.707
   125	-9.28842e-06	-0.707	0.707
   126	-6.27173e-06	-0.707	0.707
   127	-1.17935e-05	-0.707	0.707
   128	-1.03199e-05	-0.707	0.707
   129	-1.14063e-05	-0.707	0.707
   130	-1.15856e-05	-0.707	0.707
   131	-7.56912e-06	-0.707	0.707
   132	-8.62797e-06	-0.707	0.707
   133	-8.94819e-06	-0.707	0.707
   134	-6.64903e-06	-0.707	0.707
   135	-8.94562e-06	-0.707	0.707
   136	-5.10123e-06	-0.707	0.707
   137	-8.11783e-06	-0.707	0.707
   138	-7.55318e-06	-0.707	0.707
   139	-7.31405e-06	-0.707	0.707
   140	-9.05209e-06	-0.707	0.707
   141	-8.37922e-06	-0.707	0.707
   142	-9.66437e-06	-0.707	0.707
   143	-8.63558e-06	-0.707	0.707
   144	-8.70033e-06	-0.707	0.707
   145	-7.68051e-06	-0.707	0.707
   146	-9.85108e-06	-0.707	0.707
   147	-1.23557e-05	-0.707	0.707
   148	-8.00307e-06	-0.707	0.707
   149	-4.82593e-06	-0.707	0.707
   150	-1.07748e-05	-0.707	0.707
   151	-9.16239e-06	-0.707	0.707
   152	-8.04596e-06	-0.707	0.707
   153	-7.1301e-06	-0.707	0.707
   154	-9.53333e-06	-0.707	0.707
   155	-9.98398e-06	-0.707	0.707
   156	-6.7172e-06	-0.707	0.707
   157	-8.96178e-06	-0.707	0.707
   158	-7.34392e-06	-0.707	0.707
   159	-1.06715e-05	-0.707	0.707
   160	-9.0594e-06	-0.707	0.707
   161	-1.01728e-05	-0.707	0.707
   162	-1.11977e-05	-0.707	0.707
   163	-9.87836e-06	-0.707	0.707
   164	-7.62677e-06	-0.707	0.707
   165	-9.55503e-06	-0.707	0.707
   166	-9.89502e-06	-0.707	0.707
   167	-6.4281e-06	-0.707	0.707
   168	-6.85546e-06	-0.707	0.707
   169	-7.37495e-06	-0.707	0.707
   170	-7.48158e-06	-0.707	0.707
   171	-8.14958e-06	-0.707	0.707
   172	-8.56933e-06	-0.707	0.707
   173	-9.18688e-06	-0.707	0.707
   174	-8.97153e-06	-0.707	0.707
   175	-7.46718e-06	-0.707	0.707
   176	-8.76165e-06	-0.707	0.707
   177	-7.17136e-06	-0.707	0.707
   178	-6.97653e-06	-0.707	0.707
   179	-5.88118e-06	-0.707	0.707
   180	-7.74109e-06	-0.707	0.707
   181	-9.51637e-06	-0.707	0.707
   182	-9.01667e-06	-0.707	0.707
   183	-9.19466e-06	-0.707	0.707
   184	-5.88832e-06	-0.707	0.707
   185	-8.46533e-06	-0.707	0.707
   186	-9.44154e-06	-0.707	0.707
   187	-9.34619e-06	-0.707	0.707
   188	-8.89266e-06	-0.707	0.707
   189	-7.32981e-06	-0.707	0.707
   190	-8.32375e-06	-0.707	0.707
   191	-6.23033e-06	-0.707	0.707
   192	-8.2041e-06	-0.707	0.707
   193	-8.92993e-06	-0.707	0.707
   194	-6.19892e-06	-0.707	0.707
   195	-1.18106e-05	-0.707	0.707
   196	-8.35942e-06	-0.707	0.707
   197	-8.11487e-06	-0.707	0.707
   198	-1.08121e-05	-0.707	0.707
   199	-8.16693e-06	-0.707	0.707
   200	-1.00629e-05	-0.707	0.707
   201	-6.83483e-06	-0.707	0.707
   202	-1.00313e-05	-0.707	0.707
   203	-7.35766e-06	-0.707	0.707
   204	-9.91643e-06	-0.707	0.707
   205	-6.68658e-06	-0.707	0.707
   206	-8.67894e-06	-0.707	0.707
   207	-8.576e-06	-0.707	0.707
   208	-1.01033e-05	-0.707	0.707
   209	-8.29041e-06	-0.707	0.707
   210	-7.7952e-06	-0.707	0.707
   211	-7.02559e-06	-0.707	0.707
   212	-1.16341e-05	-0.707	0.707
   213	-9.65685e-06	-0.707	0.707
   214	-7.44205e-06	-0.707	0.707
   215	-5.36885e-06	-0.707	0.707
   216	-1.05658e-05	-0.707	0.707
   217	-7.70744e-06	-0.707	0.707
   218	-6.94574e-06	-0.707	0.707
   219	-7.84815e-06	-0.707	0.707
   220	-8.50756e-06	-0.707	0.707
   221	-8.16463e-06	-0.707	0.707
   222	-8.15071e-06	-0.707	0.707
   223	-6.50399e-06	-0.707	0.707
   224	-7.13648e-06	-0.707	0.707
   225	-1.03352e-05	-0.707	0.707
   226	-8.04044e-06	-0.707	0.707
   227	-8.83263e-06	-0.707	0.707
   228	-7.77185e-06	-0.707	0.707
   229	-1.113e-05	-0.707	0.707
   230	-7.93172e-06	-0.707	0.707
   231	-9.82405e-06	-0.707	0.707
   232	-8.27158e-06	-0.707	0.707
   233	-1.018e-05	-0.707	0.707
   234	-8.83967e-06	-0.707	0.707
   235	-9.1362e-06	-0.707	0.707
   236	-1.08246e-05	-0.707	0.707
   237	-7.74978e-06	-0.707	0.707
   238	-1.18354e-05	-0.707	0.707
   239	-7.33487e-06	-0.707	0.707
   240	-7.87244e-06	-0.707	0.707
   241	-8.03426e-06	-0.707	0.707
   242	-9.88655e-06	-0.707	0.707
   243	-8.32339e-06	-0.707	0.707
   244	-8.55051e-06	-0.707	0.707
   245	-8.80506e-06	-0.707	0.707
   246	-1.00912e-05	-0.707	0.707
   247	-8.51953e-06	-0.707	0.707
   248	-7.74579e-06	-0.707	0.707
   249	-9.67709e-06	-0.707	0.707
   250	-7.09544e-06	-0.707	0.707
   251	-7.97131e-06	-0.707	0.707
   252	-6.81288e-06	-0.707	0.707
   253	-9.25599e-06	-0.707	0.707
   254	-6.03746e-06	-0.707	0.707
   255	-6.63144e-06	-0.707	0.707
   256	-9.97508e-06	-0.707	0.707
   257	-1.02166e-05	-0.707	0.707
   258	-1.00075e-05	-0.707	0.707
   259	-7.84858e-06	-0.707	0.707
   260	-8.494e-06	-0.707	0.707
   261	-8.86522e-06	-0.707	0.707
   262	-6.79402e-06	-0.707	0.707
   263	-6.5126e-06	-0.707	0.707
   264	-7.39884e-06	-0.707	0.707
   265	-9.02287e-06	-0.707	0.707
   266	-7.91581e-06	-0.707	0.707
   267	-8.02929e-06	-0.707	0.707
   268	-1.03955e-05	-0.707	0.707
   269	-6.4955e-06	-0.707	0.707
   270	-9.24343e-06	-0.707	0.707
   271	-8.89841e-06	-0.707	0.707
   272	-9.00566e-06	-0.707	0.707
   273	-7.03836e-06	-0.707	0.707
   274	-5.14655e-06	-0.707	0.707
   275	-7.44562e-06	-0.707	0.707
   276	-7.69792e-06	-0.707	0.707
   277	-8.17058e-06	-0.707	0.707
   278	-7.82101e-06	-0.707	0.707
   279	-1.03666e-05	-0.707	0.707
   280	-7.0166e-06	-0.707	0.707
   281	-8.5903e-06	-0.707	0.707
   282	-9.28977e-06	-0.707	0.707
   283	-9.0414e-06	-0.707	0.707
   284	-6.02759e-06	-0.707	0.707
   285	-9.73735e-06	-0.707	0.707
   286	-7.35982e-06	-0.707	0.707
   287	-9.15099e-06	-0.707	0.707
   288	-7.51974e-06	-0.707	0.707
   289	-6.77019e-06	-0.707	0.707
   290	-8.6602e-06	-0.707	0.707
   291	-9.19528e-06	-0.707	0.707
   292	-6.6478e-06	-0.707	0.707
   293	-7.95556e-06	-0.707	0.707
   294	-9.6047e-06	-0.707	0.707
   295	-1.17754e-05	-0.707	0.707
   296	-7.10621e-06	-0.707	0.707
   297	-7.62621e-06	-0.707	0.707
   298	-8.34999e-06	-0.707	0.707
   299	-9.29605e-06	-0.707	0.707
   300	-9.23822e-06	-0.707	0.707
   301	-8.10717e-06	-0.707	0.707
   302	-8.93353e-06	-0.707	0.707
   303	-8.4485e-06	-0.707	0.707
   304	-8.08693e-06	-0.707	0.707
   305	-1.03241e-05	-0.707	0.707
   306	-7.36684e-06	-0.707	0.707
   307	-7.24035e-06	-0.707	0.707
   308	-8.47048e-06	-0.707	0.707
   309	-1.14553e-05	-0.707	0.707
   310	-1.01946e-05	-0.707	0.707
   311	-9.81522e-06	-0.707	0.707
   312	-1.00615e-05	-0.707	0.707
   313	-9.20127e-06	-0.707	0.707
   314	-9.98137e-06	-0.707	0.707
   315	-1.06654e-05	-0.707	0.707
   316	-6.56461e-06	-0.707	0.707
   317	-7.05104e-06	-0.707	0.707
   318	-7.45601e-06	-0.707	0.707
   319	-8.12653e-06	-0.707	0.707
   320	-7.64515e-06	-0.707	0.707
   321	-9.5726e-06	-0.707	0.707
   322	-7.56953e-06	-0.707	0.707
   323	-7.77947e-06	-0.707	0.707
   324	-9.57659e-06	-0.707	0.707
   325	-8.11742e-06	-0.707	0.707
   326	-8.08043e-06	-0.707	0.707
   327	-7.95211e-06	-0.707	0.707
   328	-7.66092e-06	-0.707	0.707
   329	-1.05513e-05	-0.707	0.707
